time_ground,flux_ground
5.874386200000000002e+01,1.001899000000000095e+00
5.874733400000000216e+01,1.002715999999999941e+00
5.875080599999999720e+01,9.993330000000000268e-01
5.875427799999999934e+01,9.972090000000000121e-01
5.875775000000000148e+01,9.971410000000000551e-01
5.876122199999999651e+01,9.980970000000000120e-01
5.876469500000000323e+01,1.000105999999999939e+00
5.876816699999999827e+01,9.992229999999999723e-01
5.877163900000000041e+01,1.001079000000000052e+00
5.877511100000000255e+01,1.001792000000000016e+00
5.877858299999999758e+01,1.000005999999999950e+00
5.878205499999999972e+01,9.986180000000000057e-01
5.878552700000000186e+01,1.000104000000000104e+00
5.878899899999999690e+01,1.000987000000000071e+00
5.879247199999999651e+01,9.997779999999999445e-01
5.879594399999999865e+01,9.996420000000000305e-01
5.879941600000000079e+01,9.993720000000000381e-01
5.880288800000000293e+01,1.001262000000000096e+00
5.880635999999999797e+01,9.990520000000000511e-01
5.880983200000000011e+01,9.970240000000000213e-01
5.881330400000000225e+01,9.986199999999999521e-01
5.881677599999999728e+01,1.000810999999999895e+00
5.882024799999999942e+01,9.980229999999999935e-01
5.882372099999999904e+01,9.996699999999999475e-01
5.882719300000000118e+01,1.000091999999999981e+00
5.883066500000000332e+01,1.000075000000000047e+00
5.883413699999999835e+01,1.003554000000000057e+00
5.883760900000000049e+01,1.003123999999999905e+00
5.884108100000000263e+01,9.927740000000000453e-01
5.936537200000000070e+01,9.985640000000000072e-01
5.936884400000000284e+01,1.000375000000000014e+00
5.937231599999999787e+01,9.982259999999999467e-01
5.937578800000000001e+01,1.000958999999999932e+00
5.937926000000000215e+01,1.000078999999999940e+00
5.951120099999999979e+01,9.986990000000000034e-01
5.951467300000000193e+01,9.997779999999999445e-01
5.951814499999999697e+01,9.981079999999999952e-01
5.952161699999999911e+01,1.000625000000000098e+00
5.952508900000000125e+01,9.977589999999999515e-01
5.952856100000000339e+01,9.976699999999999458e-01
5.953203400000000300e+01,9.998960000000000070e-01
5.953550599999999804e+01,9.977749999999999675e-01
5.953897800000000018e+01,1.002132999999999940e+00
5.954245000000000232e+01,1.000232000000000010e+00
5.954592199999999735e+01,9.988369999999999749e-01
5.954939399999999949e+01,9.973109999999999475e-01
5.955286600000000163e+01,1.000129000000000046e+00
5.955633799999999667e+01,1.002234999999999987e+00
5.955981100000000339e+01,1.000166000000000111e+00
5.956328299999999842e+01,9.996930000000000538e-01
5.956675500000000056e+01,1.000903000000000098e+00
5.957022700000000270e+01,9.995929999999999538e-01
5.957369899999999774e+01,9.981370000000000520e-01
5.957717099999999988e+01,9.991630000000000233e-01
5.958064300000000202e+01,9.988700000000000356e-01
5.958411499999999705e+01,1.001020999999999939e+00
5.958758799999999667e+01,1.001136000000000026e+00
5.959105999999999881e+01,9.993060000000000276e-01
5.959453200000000095e+01,1.001841999999999899e+00
5.959800400000000309e+01,1.001962999999999937e+00
5.960147599999999812e+01,1.001176999999999984e+00
5.960494800000000026e+01,1.000809999999999977e+00
5.960842000000000240e+01,1.002196000000000087e+00
5.961189199999999744e+01,1.000493000000000077e+00
5.961536399999999958e+01,9.974100000000000188e-01
5.961883699999999919e+01,1.001775000000000082e+00
5.962230900000000133e+01,9.998329999999999718e-01
5.962578100000000347e+01,9.993779999999999886e-01
5.962925299999999851e+01,1.001063000000000036e+00
5.963272500000000065e+01,1.000680999999999932e+00
5.963619700000000279e+01,9.974340000000000428e-01
5.963966899999999782e+01,9.986680000000000001e-01
5.964314099999999996e+01,1.000461999999999962e+00
5.964661399999999958e+01,1.000078999999999940e+00
